i,H2,O2,N2,T,mu,muNN,rel_error
1057,0.613974,0.305514,0.0805124,1068.15,2.5591e-05,2.53766e-05,0.00837929
1058,0.434372,0.540911,0.0247174,2971.67,5.89734e-05,5.70291e-05,0.0329694
1059,0.00830477,0.536375,0.45532,734.037,3.53585e-05,3.7114e-05,0.0496471
1060,0.307714,0.216851,0.475435,1848.79,4.67524e-05,4.58421e-05,0.0194697
1061,0.240524,0.289499,0.469978,1313.48,3.98915e-05,3.97017e-05,0.00475686
1062,0.236006,0.361822,0.402172,1018.7,3.39375e-05,3.40763e-05,0.00409138
1063,0.340749,0.0659486,0.593303,1710,4.25063e-05,4.18565e-05,0.0152892
1064,0.493255,0.42077,0.0859744,1844.6,4.0463e-05,3.96139e-05,0.0209829
1065,0.227672,0.296896,0.475433,2496.7,6.26442e-05,6.083e-05,0.0289606
1066,0.363935,0.354875,0.28119,624.83,2.15126e-05,2.16973e-05,0.00858812
1067,0.247259,0.335903,0.416837,2740.91,6.5584e-05,6.37038e-05,0.0286693
1068,0.424671,0.0583686,0.51696,1776.92,4.06173e-05,3.99491e-05,0.0164522
1069,0.617026,0.0376502,0.345323,394.087,1.28528e-05,1.30711e-05,0.0169845
1070,0.0714736,0.579957,0.348569,2803.59,8.4123e-05,8.146e-05,0.0316558
1071,0.367695,0.348406,0.2839,1981.9,4.68378e-05,4.58055e-05,0.022041
1072,0.552242,0.258442,0.189316,2269.87,4.41688e-05,4.29572e-05,0.027431
1073,0.379469,0.286545,0.333986,748.324,2.38624e-05,2.40476e-05,0.0077615
1074,0.28886,0.212409,0.498732,1604.64,4.32337e-05,4.26573e-05,0.0133309
1075,0.279265,0.356589,0.364146,214.389,1.12584e-05,1.14294e-05,0.0151886
1076,0.112125,0.33481,0.553065,2388.95,6.97387e-05,6.78161e-05,0.0275693
1077,0.0483143,0.439603,0.512083,266.937,1.6866e-05,1.74198e-05,0.0328369
1078,0.499917,0.425481,0.0746019,1982.84,4.22878e-05,4.12882e-05,0.0236392
1079,0.32883,0.4883,0.182869,2873.92,6.31338e-05,6.13301e-05,0.0285697
1080,0.147533,0.807196,0.045271,1388.29,4.85202e-05,4.83287e-05,0.00394569
1081,0.24063,0.391702,0.367668,235.494,1.2507e-05,1.25653e-05,0.00466653
1082,0.12109,0.429128,0.449782,471.686,2.29897e-05,2.30324e-05,0.00185826
1083,0.590523,0.018807,0.39067,2093.83,4.02159e-05,3.92457e-05,0.0241254
1084,0.43363,0.357476,0.208894,1859.83,4.24468e-05,4.16035e-05,0.0198671
1085,0.169474,0.219657,0.610869,1587,4.87249e-05,4.80554e-05,0.0137389
1086,0.448242,0.0148518,0.536906,2710.29,5.28911e-05,5.11825e-05,0.0323043
1087,0.384159,0.318169,0.297672,2636.62,5.58815e-05,5.41201e-05,0.0315196
1088,0.724358,0.0381956,0.237446,1290.02,2.68663e-05,2.62643e-05,0.0224078
1089,0.287464,0.415514,0.297022,1726.16,4.62619e-05,4.55024e-05,0.0164166
1090,0.194085,0.166319,0.639597,1402.24,4.33468e-05,4.30015e-05,0.00796673
1091,0.310734,0.508464,0.180802,760.241,2.61148e-05,2.63387e-05,0.00857189
1092,0.711308,0.0720643,0.216628,1631,3.17353e-05,3.08867e-05,0.0267381
1093,0.148884,0.456258,0.394858,869.108,3.38907e-05,3.41646e-05,0.00808189
1094,0.397518,0.271462,0.331021,513.306,1.81906e-05,1.83543e-05,0.00899623
1095,0.070578,0.484774,0.444648,1457.8,5.31459e-05,5.30111e-05,0.00253682
1096,0.127168,0.364325,0.508507,2534.98,7.1557e-05,6.95412e-05,0.0281708
1097,0.315828,0.410217,0.273955,2311.45,5.48155e-05,5.33279e-05,0.027138
1098,0.450343,0.0688316,0.480825,1099.72,2.88025e-05,2.87579e-05,0.00155023
1099,0.282026,0.28212,0.435854,2763.3,6.33207e-05,6.13984e-05,0.0303583
1100,0.00284411,0.312104,0.685052,720.553,3.3929e-05,3.58587e-05,0.0568741
1101,0.317282,0.351347,0.33137,446.496,1.78615e-05,1.79447e-05,0.00465768
1102,0.33849,0.189893,0.471617,1890.85,4.60283e-05,4.51053e-05,0.020053
1103,0.130569,0.417396,0.452035,1069.5,3.97383e-05,3.99239e-05,0.00467147
1104,0.334874,0.337857,0.327269,2521.5,5.67745e-05,5.50786e-05,0.0298698
1105,0.126219,0.438693,0.435088,1018.34,3.87172e-05,3.89629e-05,0.00634599
1106,0.16708,0.471724,0.361197,2446.77,6.73265e-05,6.5548e-05,0.026416
1107,0.449106,0.103642,0.447252,2403.93,4.90261e-05,4.76526e-05,0.0280155
1108,0.422189,0.109859,0.467952,2000.27,4.42467e-05,4.3303e-05,0.0213279
1109,0.451478,0.194608,0.353913,2721.92,5.3544e-05,5.17852e-05,0.0328478
1110,0.423814,0.319382,0.256804,1114.78,3.01889e-05,3.01724e-05,0.000547604
1111,0.223061,0.371839,0.4051,446.915,1.96599e-05,1.96483e-05,0.000593026
1112,0.741251,0.0405991,0.21815,2057.63,3.6448e-05,3.52463e-05,0.0329687
1113,0.386381,0.469499,0.14412,1852.26,4.44008e-05,4.35323e-05,0.0195602
1114,0.10065,0.441201,0.458149,1895.88,6.10905e-05,5.99183e-05,0.0191881
1115,0.0114652,0.375749,0.612786,2634.71,8.33148e-05,8.19026e-05,0.0169498
1116,0.346062,0.0856153,0.568323,1393.67,3.68828e-05,3.66308e-05,0.00683108
1117,0.0732632,0.320457,0.60628,1365.84,4.96677e-05,4.96864e-05,0.000377756
1118,0.0940278,0.133359,0.772614,408.42,2.07676e-05,2.08848e-05,0.00564642
1119,0.329155,0.536372,0.134472,2519.14,5.79391e-05,5.63226e-05,0.027901
1120,0.296328,0.334255,0.369417,2163.67,5.30979e-05,5.17405e-05,0.0255636
1121,0.161051,0.465036,0.373913,1705.76,5.29808e-05,5.21359e-05,0.0159472
1122,0.397256,0.197698,0.405046,1355.98,3.49285e-05,3.47015e-05,0.0064967
1123,0.315136,0.227696,0.457168,1031.92,3.12836e-05,3.13852e-05,0.00324615
1124,0.242426,0.392713,0.364861,995.47,3.32749e-05,3.34321e-05,0.00472535
1125,0.190273,0.188589,0.621139,2977.01,7.28655e-05,7.07984e-05,0.0283682
1126,0.262997,0.531543,0.20546,222.553,1.19124e-05,1.1994e-05,0.00685191
1127,0.115143,0.238157,0.6467,914.042,3.56332e-05,3.59616e-05,0.00921747
1128,0.0529131,0.759767,0.18732,692.6,3.36859e-05,3.44027e-05,0.0212785
1129,0.304132,0.178816,0.517051,2723.27,6.08304e-05,5.88757e-05,0.032133
1130,0.411756,0.445195,0.143049,1168.42,3.17531e-05,3.17042e-05,0.0015413
1131,0.340956,0.0723329,0.586711,2588.43,5.63157e-05,5.45104e-05,0.0320568
1132,0.045364,0.393745,0.560891,2646.18,8.13428e-05,7.91509e-05,0.0269473
1133,0.85157,0.0959235,0.0525064,1122.26,2.30211e-05,2.23201e-05,0.0304466
1134,0.328442,0.414572,0.256986,2196.38,5.2329e-05,5.09851e-05,0.0256817
1135,0.431933,0.124194,0.443873,2185.64,4.666e-05,4.55058e-05,0.0247361
1136,0.606964,0.0832074,0.309829,1465.77,3.14133e-05,3.08843e-05,0.0168405
1137,0.141457,0.248779,0.609764,1125.67,3.99112e-05,3.99968e-05,0.0021454
1138,0.434212,0.0760503,0.489738,384.65,1.43397e-05,1.45383e-05,0.013845
1139,0.0310667,0.514738,0.454196,595.866,3.00498e-05,3.09807e-05,0.0309773
1140,0.494281,0.307663,0.198056,2022.11,4.27094e-05,4.17094e-05,0.0234153
1141,0.264256,0.696764,0.0389794,2863.46,6.84657e-05,6.70002e-05,0.0214041
1142,0.353202,0.374382,0.272416,2958.41,6.23732e-05,6.04237e-05,0.0312566
1143,0.0332268,0.460075,0.506699,2707.78,8.43685e-05,8.20685e-05,0.0272608
1144,0.503303,0.424288,0.0724085,2417.89,4.82219e-05,4.6785e-05,0.029799
1145,0.206138,0.311741,0.482121,2997.37,7.27508e-05,7.08453e-05,0.0261929
1146,0.719441,0.0480857,0.232473,2629.01,4.35023e-05,4.21115e-05,0.0319697
1147,0.391896,0.206215,0.401889,296.409,1.2543e-05,1.27768e-05,0.0186421
1148,0.364084,0.420357,0.21556,2777.34,5.93732e-05,5.75267e-05,0.0311011
1149,0.154391,0.489708,0.355902,1535.45,4.98306e-05,4.92884e-05,0.0108812
1150,0.398682,0.149699,0.451619,2168.57,4.77749e-05,4.6586e-05,0.0248856
1151,0.192536,0.457423,0.350041,2279.96,6.21814e-05,6.05835e-05,0.0256977
1152,0.0289461,0.44358,0.527474,883.831,3.91136e-05,4.03707e-05,0.0321399
1153,0.464047,0.02199,0.513963,939.481,2.55503e-05,2.55708e-05,0.000802429
1154,0.540867,0.136472,0.32266,1571.18,3.44781e-05,3.3942e-05,0.0155491
1155,0.390706,0.427,0.182294,1290.57,3.45302e-05,3.43675e-05,0.00471065
1156,0.49841,0.50023,0.00135999,1557.73,3.61438e-05,3.55936e-05,0.0152202
1157,0.290545,0.4432,0.266254,742.816,2.60787e-05,2.62932e-05,0.00822558
1158,0.423563,0.330987,0.24545,2348.12,5.00141e-05,4.86051e-05,0.0281709
1159,0.344004,0.196032,0.459964,1768.19,4.3783e-05,4.30334e-05,0.0171214
1160,0.340273,0.275017,0.38471,479.643,1.82525e-05,1.83727e-05,0.00658415
1161,0.358741,0.435976,0.205284,1325.13,3.61837e-05,3.59939e-05,0.00524677
1162,0.422596,0.256399,0.321005,979.184,2.75605e-05,2.76349e-05,0.00269663
1163,0.365056,0.447631,0.187313,1504.45,3.92426e-05,3.88265e-05,0.0106033
1164,0.409483,0.2408,0.349717,224.989,1.02874e-05,1.06943e-05,0.0395476
1165,0.275479,0.110828,0.613693,1899.82,4.87199e-05,4.76889e-05,0.0211614
1166,0.0833663,0.484676,0.431958,471.973,2.41718e-05,2.43547e-05,0.00756384
1167,0.50756,0.167742,0.324698,898.463,2.42463e-05,2.42603e-05,0.000578565
1168,0.6751,0.111383,0.213517,1606.28,3.21232e-05,3.13572e-05,0.0238461
1169,0.352982,0.435294,0.211724,988.405,2.98192e-05,2.99531e-05,0.00449196
1170,0.102884,0.360079,0.537036,481.932,2.36373e-05,2.37515e-05,0.00483096
1171,0.377199,0.207863,0.414938,2572.17,5.48473e-05,5.31328e-05,0.031261
1172,0.581663,0.128084,0.290253,1969.73,3.90588e-05,3.81403e-05,0.0235161
1173,0.570881,0.179126,0.249993,1871.35,3.81139e-05,3.72667e-05,0.0222261
1174,0.513031,0.0642909,0.422678,1999.48,4.11799e-05,4.02974e-05,0.0214302
1175,0.263388,0.170287,0.566324,1585.94,4.38357e-05,4.32627e-05,0.0130729
1176,0.355094,0.113417,0.531489,2691.62,5.72742e-05,5.53888e-05,0.0329187
1177,0.133958,0.802544,0.0634975,2672.04,7.71688e-05,7.52749e-05,0.0245421
1178,0.447797,0.382923,0.16928,1102.75,2.95272e-05,2.95034e-05,0.000806192
1179,0.340879,0.466162,0.192959,273.267,1.26447e-05,1.27788e-05,0.0106069
1180,0.0287145,0.38476,0.586525,1858.8,6.4748e-05,6.44674e-05,0.00433282
1181,0.366038,0.564665,0.0692969,1057.3,3.11493e-05,3.12398e-05,0.002903
1182,0.30405,0.376481,0.319469,500.597,1.95838e-05,1.96828e-05,0.00505344
1183,0.0701661,0.475575,0.454258,1961.45,6.51018e-05,6.39271e-05,0.0180446
1184,0.22918,0.399821,0.370999,1729.73,4.91778e-05,4.83486e-05,0.0168609
1185,0.68289,0.285667,0.0314438,885.495,2.16208e-05,2.14275e-05,0.00894321
1186,0.442642,0.208075,0.349283,622.865,1.99134e-05,2.00708e-05,0.00790383
1187,0.289117,0.564385,0.146498,435.966,1.83739e-05,1.84017e-05,0.00151427
1188,0.184822,0.337632,0.477546,761.011,2.93529e-05,2.95738e-05,0.00752751
1189,0.622821,0.0358534,0.341326,2744.27,4.73342e-05,4.58932e-05,0.0304429
1190,0.593658,0.22865,0.177693,1404.21,3.10325e-05,3.05615e-05,0.0151775
1191,0.602421,0.0621209,0.335458,510.998,1.54687e-05,1.55527e-05,0.00542428
1192,0.00507302,0.583932,0.410995,410.479,2.38769e-05,2.51789e-05,0.0545321
1193,0.34876,0.299776,0.351464,2972.44,6.24766e-05,6.04704e-05,0.0321107
1194,0.362561,0.312684,0.324755,1155.48,3.25618e-05,3.25491e-05,0.000389579
1195,0.425974,0.556831,0.0171948,2773.6,5.67459e-05,5.49379e-05,0.0318616
1196,0.529469,0.106646,0.363885,2698.94,4.99702e-05,4.84049e-05,0.0313238
1197,0.646373,0.0498535,0.303774,1475.86,3.07548e-05,3.01552e-05,0.0194983
1198,0.271265,0.337975,0.390759,2236.17,5.57056e-05,5.42236e-05,0.026603
1199,0.342494,0.137384,0.520122,253.141,1.16885e-05,1.19202e-05,0.0198236
1200,0.2282,0.184317,0.587484,1184.06,3.73064e-05,3.72738e-05,0.000875121
1201,0.299709,0.445374,0.254916,1604.44,4.35939e-05,4.30227e-05,0.0131036
1202,0.422232,0.333466,0.244301,2140.5,4.70383e-05,4.58651e-05,0.0249418
1203,0.426617,0.126721,0.446661,2785.09,5.52149e-05,5.33513e-05,0.0337516
1204,0.174532,0.350873,0.474595,1011.1,3.60894e-05,3.62566e-05,0.00463393
1205,0.230795,0.378341,0.390865,2740.37,6.70053e-05,6.51552e-05,0.0276112
1206,0.31812,0.180724,0.501155,832.48,2.68679e-05,2.70516e-05,0.00683667
1207,0.298693,0.292495,0.408812,2691.14,6.12202e-05,5.93461e-05,0.0306124
1208,0.485813,0.464175,0.0500111,901.25,2.51571e-05,2.5248e-05,0.00361482
1209,0.255257,0.722959,0.0217833,979.636,3.3436e-05,3.36521e-05,0.00646078
1210,0.0719545,0.0484219,0.879624,2101.96,6.47273e-05,6.3333e-05,0.02154
1211,0.0311462,0.665647,0.303206,1587.5,6.01766e-05,6.03606e-05,0.00305724
1212,0.674824,0.0998612,0.225315,790.034,1.99172e-05,1.973e-05,0.0094004
1213,0.547188,0.306648,0.146164,1065.4,2.66887e-05,2.65725e-05,0.00435232
1214,0.54154,0.341247,0.117213,1472.38,3.33967e-05,3.29184e-05,0.0143223
1215,0.39034,0.456197,0.153463,1186.98,3.27086e-05,3.26564e-05,0.00159535
1216,0.156229,0.318575,0.525197,254.173,1.43129e-05,1.43409e-05,0.00195642
1217,0.332548,0.0246924,0.64276,408.153,1.6159e-05,1.62631e-05,0.00644327
1218,0.103996,0.421902,0.474102,1168.48,4.35908e-05,4.37433e-05,0.00349846
1219,0.546845,0.206145,0.24701,2586.18,4.8259e-05,4.67837e-05,0.0305687
1220,0.520307,0.108056,0.371637,2516.57,4.79779e-05,4.65875e-05,0.0289795
1221,0.158156,0.33015,0.511694,1047.5,3.75905e-05,3.7741e-05,0.00400587
1222,0.35265,0.562634,0.0847156,1133.28,3.30446e-05,3.30739e-05,0.000885279
1223,0.247906,0.478454,0.273639,1611.16,4.62458e-05,4.56321e-05,0.0132691
1224,0.446612,0.201338,0.352051,1681.01,3.88226e-05,3.82243e-05,0.0154114
1225,0.346662,0.223246,0.430092,782.89,2.51974e-05,2.5383e-05,0.00736249
1226,0.864753,0.077492,0.0577547,2602.47,4.02029e-05,3.84859e-05,0.0427077
1227,0.131764,0.782208,0.0860281,2094.51,6.53784e-05,6.40156e-05,0.0208455
1228,0.340521,0.500821,0.158658,2109.74,5.06797e-05,4.94595e-05,0.0240754
1229,0.0922318,0.467199,0.440569,1641.5,5.60827e-05,5.5431e-05,0.0116202
1230,0.354679,0.63345,0.0118704,1197.92,3.44326e-05,3.44003e-05,0.00093594
1231,0.502585,0.496363,0.00105185,1654.31,3.75153e-05,3.68525e-05,0.017669
1232,0.0418806,0.663089,0.29503,1794.36,6.47394e-05,6.42007e-05,0.00832013
1233,0.507789,0.403996,0.0882143,2808.99,5.31123e-05,5.12967e-05,0.0341834
1234,0.00328547,0.721529,0.275186,2600.05,8.70455e-05,8.5212e-05,0.0210639
1235,0.526678,0.16199,0.311333,2468.12,4.72963e-05,4.59354e-05,0.0287742
1236,0.494109,0.096859,0.409032,1231.63,3.01555e-05,2.99689e-05,0.00618862
1237,0.365742,0.0493047,0.584954,904.151,2.69707e-05,2.70979e-05,0.00471605
1238,0.198249,0.0524326,0.749318,2434.96,6.21795e-05,6.02447e-05,0.0311169
1239,0.465955,0.123258,0.410787,852.79,2.40569e-05,2.41281e-05,0.00295886
1240,0.485699,0.110375,0.403927,2111.11,4.36973e-05,4.26807e-05,0.0232649
1241,0.0615881,0.365325,0.573087,1584.82,5.60206e-05,5.57185e-05,0.00539244
1242,0.132813,0.588473,0.278714,1710.85,5.566e-05,5.4831e-05,0.0148955
1243,0.236754,0.402614,0.360632,1118.23,3.62627e-05,3.63187e-05,0.00154337
1244,0.2784,0.482163,0.239437,1285.21,3.84288e-05,3.8299e-05,0.00337754
1245,0.216069,0.491924,0.292007,1679.21,4.93157e-05,4.85702e-05,0.015117
1246,0.548748,0.0567133,0.394539,1465.11,3.25589e-05,3.21191e-05,0.0135089
1247,0.357665,0.363513,0.278822,533.867,1.94571e-05,1.96117e-05,0.00794273
1248,0.511169,0.27339,0.215441,317.51,1.2064e-05,1.2426e-05,0.0300048
1249,0.355121,0.4031,0.241778,2587.62,5.69862e-05,5.52676e-05,0.0301569
1250,0.0207756,0.582039,0.397185,709.672,3.44864e-05,3.58202e-05,0.038677
1251,0.418307,0.477286,0.104407,1882.2,4.36966e-05,4.27986e-05,0.0205501
1252,0.617756,0.0953225,0.286922,1624.31,3.34619e-05,3.27841e-05,0.0202553
1253,0.125687,0.457241,0.417072,625.361,2.78162e-05,2.80195e-05,0.00730827
1254,0.431474,0.310143,0.258383,460.658,1.64954e-05,1.66808e-05,0.0112364
1255,0.139517,0.580517,0.279966,2522.33,7.19008e-05,7.00413e-05,0.0258624
1256,0.433942,0.160984,0.405074,2304.86,4.84093e-05,4.71068e-05,0.0269062
1257,0.793,0.00997002,0.19703,1016.25,2.20609e-05,2.15048e-05,0.0252036
1258,0.443426,0.327643,0.228931,1473.7,3.59108e-05,3.55208e-05,0.0108596
1259,0.294108,0.688174,0.0177181,2880.72,6.65447e-05,6.50291e-05,0.0227763
1260,0.322745,0.282859,0.394396,1394.57,3.82671e-05,3.7996e-05,0.00708615
1261,0.272516,0.314924,0.412559,2098.78,5.31852e-05,5.18703e-05,0.0247223
1262,0.158813,0.329622,0.511565,1879.38,5.59732e-05,5.48006e-05,0.0209481
1263,0.600908,0.0256695,0.373422,1571.67,3.29426e-05,3.23481e-05,0.018047
1264,0.641001,0.181208,0.177791,2941.2,4.944e-05,4.77603e-05,0.0339745
1265,0.634974,0.35912,0.00590578,2858.47,4.91604e-05,4.74419e-05,0.0349566
1266,0.50698,0.414303,0.0787176,2956.82,5.5052e-05,5.30894e-05,0.0356504
1267,0.0953782,0.0298594,0.874762,2698.83,7.47151e-05,7.24632e-05,0.0301396
1268,0.0553734,0.285481,0.659146,780.793,3.43387e-05,3.50959e-05,0.0220488
1269,0.028242,0.808164,0.163594,2687.04,8.8388e-05,8.53678e-05,0.0341691
1270,0.575576,0.0357037,0.38872,1501.91,3.2488e-05,3.19847e-05,0.0154927
1271,0.267162,0.366835,0.366003,968.447,3.17605e-05,3.19267e-05,0.00523152
1272,0.0582811,0.833511,0.108208,855.369,3.90783e-05,3.98423e-05,0.0195507
1273,0.402428,0.298046,0.299526,1851.02,4.32367e-05,4.24059e-05,0.0192144
1274,0.462379,0.329686,0.207935,2083.42,4.47136e-05,4.36331e-05,0.0241649
1275,0.365391,0.305198,0.329411,343.186,1.42647e-05,1.44079e-05,0.0100441
1276,0.28304,0.415645,0.301315,2010.5,5.15388e-05,5.03725e-05,0.0226285
1277,0.497539,0.49497,0.00749133,1221.43,3.06804e-05,3.05009e-05,0.00585302
1278,0.387764,0.405609,0.206627,2545.15,5.47354e-05,5.30774e-05,0.0302919
1279,0.357115,0.304064,0.338821,349.623,1.45476e-05,1.4676e-05,0.00882432
1280,0.567804,0.115572,0.316624,972.668,2.44755e-05,2.43585e-05,0.00478043
1281,0.0879533,0.186325,0.725722,2394.64,7.06623e-05,6.87288e-05,0.0273621
1282,0.32237,0.437794,0.239836,582.821,2.14453e-05,2.16058e-05,0.00748793
1283,0.209695,0.0155735,0.774732,338.213,1.5958e-05,1.5954e-05,0.000249913
1284,0.303004,0.605287,0.091709,2109.58,5.30092e-05,5.17857e-05,0.023081
1285,0.20969,0.451733,0.338577,2468.31,6.43225e-05,6.26064e-05,0.0266807
1286,0.283209,0.190488,0.526302,1167.4,3.49643e-05,3.49537e-05,0.000305469
1287,0.500801,0.422081,0.0771179,2199.19,4.53105e-05,4.40907e-05,0.0269195
1288,0.0746813,0.400882,0.524437,2067.09,6.65277e-05,6.51348e-05,0.0209377
1289,0.350404,0.212306,0.43729,1433.19,3.78018e-05,3.74916e-05,0.00820767
1290,0.323999,0.388397,0.287605,2907.18,6.34255e-05,6.15326e-05,0.0298452
1291,0.557029,0.442864,0.000107693,2609.68,4.89039e-05,4.73098e-05,0.0325979
1292,0.344445,0.0480382,0.607517,227.211,1.07713e-05,1.10847e-05,0.0290915
1293,0.0411979,0.518943,0.439859,2313.27,7.56966e-05,7.40785e-05,0.0213762
1294,0.296147,0.455868,0.247984,895.132,2.94665e-05,2.96697e-05,0.00689582
1295,0.217351,0.318976,0.463674,961.356,3.31534e-05,3.33291e-05,0.00529912
1296,0.105194,0.379457,0.515349,2704.51,7.6938e-05,7.47194e-05,0.0288368
1297,0.21864,0.495554,0.285806,1399.89,4.34617e-05,4.3161e-05,0.00691932
1298,0.515228,0.0544049,0.430367,2611.61,4.92082e-05,4.77374e-05,0.0298892
1299,0.25274,0.375149,0.372111,2662.81,6.41533e-05,6.23322e-05,0.0283866
1300,0.303502,0.457243,0.239255,2905.44,6.50438e-05,6.32441e-05,0.0276688
1301,0.370506,0.275787,0.353707,1819.7,4.38602e-05,4.30524e-05,0.0184189
1302,0.504114,0.125484,0.370402,1647.45,3.65024e-05,3.59327e-05,0.0156078
1303,0.0721061,0.606827,0.321067,1560.62,5.64329e-05,5.60753e-05,0.00633766
1304,0.302561,0.432128,0.265311,1556.29,4.25358e-05,4.2035e-05,0.0117724
1305,0.379756,0.243016,0.377228,1710.92,4.16296e-05,4.09743e-05,0.0157414
1306,0.221945,0.383263,0.394792,984.092,3.37174e-05,3.38853e-05,0.00497933
1307,0.12588,0.376006,0.498114,2410.43,6.93296e-05,6.74216e-05,0.027521
1308,0.609941,0.299001,0.0910586,2403.53,4.42902e-05,4.29454e-05,0.0303649
1309,0.351573,0.293396,0.355032,895.103,2.76178e-05,2.7784e-05,0.00601847
1310,0.0524451,0.448674,0.498881,1361.32,5.15006e-05,5.17758e-05,0.00534394
1311,0.0986202,0.281674,0.619705,1332.57,4.72336e-05,4.71394e-05,0.00199334
1312,0.168107,0.0607372,0.771155,2508.28,6.56504e-05,6.35962e-05,0.03129
1313,0.107979,0.431151,0.46087,1765.35,5.76019e-05,5.66569e-05,0.0164065
1314,0.350958,0.308059,0.340983,2281.2,5.21459e-05,5.07232e-05,0.0272833
1315,0.422283,0.519874,0.0578437,1652.77,4.00054e-05,3.93842e-05,0.0155278
1316,0.0235201,0.375139,0.601341,209.972,1.44698e-05,1.56318e-05,0.0803002
1317,0.481941,0.231661,0.286398,2402.28,4.81884e-05,4.6816e-05,0.0284796
1318,0.459777,0.291437,0.248786,2616.65,5.21312e-05,5.04814e-05,0.0316472
1319,0.230287,0.246511,0.523202,2074.59,5.4823e-05,5.34525e-05,0.0249995
1320,0.402098,0.32422,0.273682,622.622,2.07293e-05,2.09125e-05,0.00884034
1321,0.117065,0.174756,0.708179,1861.95,5.74465e-05,5.62799e-05,0.0203071
1322,0.0745096,0.52765,0.39784,1471.6,5.35276e-05,5.33327e-05,0.00364152
1323,0.270755,0.419558,0.309687,1148.94,3.57006e-05,3.5724e-05,0.0006561
1324,0.0282868,0.243095,0.728618,1124.6,4.499e-05,4.61494e-05,0.0257711
1325,0.428391,0.181392,0.390218,585.56,1.92767e-05,1.94352e-05,0.00822306
1326,0.381364,0.24246,0.376176,2815.53,5.82441e-05,5.6303e-05,0.0333277
1327,0.717404,0.121298,0.161298,626.355,1.66599e-05,1.65367e-05,0.0073925
1328,0.498109,0.409286,0.0926052,2683.47,5.18884e-05,5.01875e-05,0.0327794
1329,0.209681,0.281441,0.508878,2130.19,5.72659e-05,5.579e-05,0.0257725
1330,0.180824,0.490358,0.328818,566.369,2.44731e-05,2.45579e-05,0.00346495
1331,0.413934,0.42279,0.163276,1056.78,2.9567e-05,2.96124e-05,0.00153287
1332,0.466755,0.289855,0.243391,2302.71,4.75547e-05,4.62525e-05,0.0273827
1333,0.412592,0.251182,0.336225,1788.53,4.17492e-05,4.10103e-05,0.0176977
1334,0.417674,0.321592,0.260734,538.261,1.85441e-05,1.87221e-05,0.00959667
1335,0.0556915,0.273877,0.670431,2750.14,8.13861e-05,7.90888e-05,0.028227
1336,0.369408,0.418265,0.212327,1650.19,4.15249e-05,4.09199e-05,0.0145701
1337,0.0582236,0.26549,0.676286,1091.46,4.29881e-05,4.36035e-05,0.0143146
1338,0.460057,0.344237,0.195706,2166.62,4.60401e-05,4.48629e-05,0.0255685
1339,0.222862,0.34649,0.430649,2855.33,6.93086e-05,6.74203e-05,0.0272455
1340,0.436756,0.406796,0.156447,2637.46,5.37993e-05,5.20902e-05,0.0317671
1341,0.271577,0.498757,0.229666,1162.59,3.62023e-05,3.62201e-05,0.000491252
1342,0.319181,0.0248612,0.655958,665.233,2.27744e-05,2.29349e-05,0.00704734
1343,0.147085,0.411766,0.441149,2181.87,6.33775e-05,6.17749e-05,0.0252859
1344,0.615244,0.368276,0.0164795,2904.48,5.03414e-05,4.85597e-05,0.0353915
1345,0.459086,0.499404,0.0415098,301.84,1.22903e-05,1.26074e-05,0.0258026
1346,0.506099,0.341872,0.152029,1389.52,3.29374e-05,3.25833e-05,0.0107504
1347,0.580769,0.0621259,0.357105,2266.4,4.27946e-05,4.16824e-05,0.0259875
1348,0.374815,0.426007,0.199179,2936.01,6.10807e-05,5.91521e-05,0.0315744
1349,0.516361,0.2962,0.187439,722.938,2.09757e-05,2.10846e-05,0.0051906
1350,0.00449135,0.589752,0.405757,2963.93,9.34543e-05,9.05864e-05,0.0306876
1351,0.323312,0.182881,0.493808,2307.43,5.33972e-05,5.18944e-05,0.0281442
1352,0.0274917,0.153904,0.818604,2846.2,8.43208e-05,8.23724e-05,0.023107
1353,0.0826365,0.511994,0.405369,1988.67,6.50461e-05,6.37564e-05,0.019828
1354,0.448255,0.444941,0.106805,1109.16,2.9757e-05,2.97316e-05,0.000855854
1355,0.589711,0.139395,0.270894,1923.27,3.82607e-05,3.73663e-05,0.0233753
1356,0.109357,0.355959,0.534684,1446.92,4.97656e-05,4.94232e-05,0.00688223
1357,0.746908,0.17102,0.082072,2230.37,3.86135e-05,3.72523e-05,0.0352521
1358,0.249395,0.493228,0.257377,820.72,2.92285e-05,2.94567e-05,0.00780864
1359,0.718436,0.092243,0.189321,434.015,1.2991e-05,1.31015e-05,0.00850418
1360,0.0523715,0.0380297,0.909599,2015.33,6.40785e-05,6.30825e-05,0.0155437
1361,0.316665,0.374812,0.308523,348.052,1.5122e-05,1.51812e-05,0.00391654
1362,0.435025,0.303252,0.261723,1789.7,4.11586e-05,4.04112e-05,0.0181585
1363,0.43712,0.44954,0.113341,2146.89,4.69346e-05,4.57392e-05,0.0254687
1364,0.0299474,0.745231,0.224821,2925.9,9.27576e-05,8.90448e-05,0.0400274
1365,0.770155,0.123151,0.106694,292.538,9.71818e-06,1.01893e-05,0.0484816
1366,0.286875,0.13663,0.576495,1054.11,3.23634e-05,3.24505e-05,0.00268891
