i,H2,O2,N2,T,mu,muNN,rel_error
818,0.158736,0.0362506,0.805014,1480.25,4.61764e-05,4.56941e-05,0.0104455
819,0.290625,0.305594,0.403781,956.945,3.06186e-05,3.07797e-05,0.00526324
820,0.488767,0.00334028,0.507893,684.499,2.02384e-05,2.03076e-05,0.00341925
821,0.334898,0.53781,0.127293,1339.9,3.7563e-05,3.73635e-05,0.00531352
822,0.24463,0.296992,0.458378,1587.2,4.52063e-05,4.46101e-05,0.0131878
823,0.230137,0.282063,0.4878,1879.3,5.14287e-05,5.03512e-05,0.0209525
824,0.0406748,0.949382,0.00994294,2883.64,9.3352e-05,8.91699e-05,0.0447989
825,0.205566,0.423674,0.37076,2325.64,6.1893e-05,6.02568e-05,0.0264359
826,0.342559,0.147805,0.509636,991.385,2.95091e-05,2.96193e-05,0.00373622
827,0.328921,0.538633,0.132446,2107.84,5.13644e-05,5.0143e-05,0.0237789
828,0.379521,0.23583,0.384649,586.022,2.01463e-05,2.03125e-05,0.00824886
829,0.534198,0.332222,0.13358,469.359,1.55138e-05,1.57352e-05,0.0142757
830,0.323775,0.31675,0.359475,440.158,1.75354e-05,1.76247e-05,0.00509279
831,0.0118779,0.306687,0.681435,1510.29,5.6232e-05,5.73386e-05,0.0196793
832,0.240328,0.327575,0.432097,613.237,2.38489e-05,2.39884e-05,0.00584975
833,0.0858306,0.524539,0.38963,2322.63,7.21768e-05,7.03268e-05,0.0256323
834,0.056218,0.399465,0.544317,413.749,2.25008e-05,2.28496e-05,0.0155016
835,0.465413,0.000123266,0.534464,703.859,2.09701e-05,2.1055e-05,0.00405115
836,0.0846596,0.583626,0.331714,723.2,3.27227e-05,3.31771e-05,0.0138843
837,0.0725897,0.559834,0.367576,621.299,2.98144e-05,3.02502e-05,0.0146173
838,0.276287,0.309501,0.414212,936.403,3.061e-05,3.07849e-05,0.00571434
839,0.366272,0.297417,0.336311,2097.97,4.85566e-05,4.73811e-05,0.0242091
840,0.454188,0.146473,0.399339,1913.18,4.19682e-05,4.11317e-05,0.0199319
841,0.392359,0.184857,0.422784,266.266,1.16424e-05,1.19272e-05,0.0244611
842,0.165425,0.495409,0.339166,2856.94,7.51637e-05,7.32771e-05,0.0251001
843,0.412876,0.0302104,0.556914,1422.81,3.52108e-05,3.49282e-05,0.00802692
844,0.509408,0.158208,0.332384,1892.09,4.00085e-05,3.91906e-05,0.0204445
845,0.133892,0.459989,0.406119,1798.27,5.67153e-05,5.56967e-05,0.0179607
846,0.465274,0.054134,0.480592,667.66,2.03085e-05,2.0414e-05,0.00519246
847,0.492989,0.0615483,0.445462,314.942,1.19895e-05,1.23189e-05,0.027468
848,0.579165,0.0837472,0.337087,2532.38,4.62244e-05,4.4892e-05,0.0288244
849,0.187135,0.312603,0.500261,2566.47,6.68821e-05,6.49696e-05,0.0285953
850,0.46608,0.33004,0.203879,1150.61,2.98532e-05,2.97683e-05,0.00284446
851,0.118441,0.544113,0.337446,1353.86,4.804e-05,4.78685e-05,0.00356918
852,0.408331,0.217069,0.3746,784.963,2.39419e-05,2.40975e-05,0.00649948
853,0.0647019,0.662094,0.273205,1161.53,4.68082e-05,4.72721e-05,0.0099104
854,0.585854,0.0343894,0.379756,872.299,2.23749e-05,2.22609e-05,0.00509801
855,0.554119,0.438358,0.00752264,2375.1,4.59748e-05,4.45907e-05,0.0301058
856,0.405051,0.366979,0.22797,1639.27,3.99312e-05,3.9351e-05,0.0145312
857,0.0463144,0.5351,0.418586,2008.78,6.84758e-05,6.74268e-05,0.0153186
858,0.139164,0.056187,0.804649,413.663,1.97907e-05,1.98062e-05,0.000782658
859,0.845517,0.0503034,0.104179,818.895,1.86449e-05,1.8129e-05,0.0276687
860,0.401055,0.0577921,0.541153,969.52,2.74745e-05,2.75494e-05,0.00272864
861,0.334406,0.439301,0.226293,2497.21,5.68736e-05,5.52327e-05,0.0288516
862,0.195523,0.639009,0.165469,1355.79,4.42627e-05,4.40568e-05,0.00465316
863,0.44563,0.371334,0.183036,2405.68,5.00734e-05,4.8617e-05,0.0290844
864,0.261131,0.531439,0.207431,2458.51,6.10498e-05,5.94533e-05,0.0261495
865,0.213366,0.0362966,0.750337,1800.92,4.97437e-05,4.87548e-05,0.0198807
866,0.420663,0.453043,0.126294,2767.11,5.64995e-05,5.46697e-05,0.0323865
867,0.358211,0.334235,0.307553,1638.72,4.14848e-05,4.09e-05,0.0140977
868,0.093465,0.665362,0.241173,641.542,3.01238e-05,3.04541e-05,0.0109669
869,0.291231,0.349487,0.359281,554.794,2.12117e-05,2.1336e-05,0.00585988
870,0.323285,0.293398,0.383318,1737.15,4.44285e-05,4.36891e-05,0.0166412
871,0.0311702,0.643222,0.325608,2617.35,8.46261e-05,8.22205e-05,0.0284257
872,0.514593,0.30032,0.185087,2050.36,4.24551e-05,4.14288e-05,0.024173
873,0.177968,0.315958,0.506074,647.042,2.64244e-05,2.65877e-05,0.00617965
874,0.390487,0.394757,0.214755,262.441,1.17233e-05,1.19834e-05,0.0221849
875,0.48028,0.00572252,0.513997,331.424,1.24768e-05,1.27624e-05,0.0228875
876,0.581143,0.30441,0.114448,2800.8,5.00453e-05,4.83554e-05,0.0337672
877,0.0811597,0.450328,0.468513,1986.56,6.4634e-05,6.33542e-05,0.0198013
878,0.525204,0.0203994,0.454397,2511.59,4.74943e-05,4.61601e-05,0.0280919
879,0.31381,0.594879,0.0913105,1207.35,3.58833e-05,3.58541e-05,0.000813504
880,0.166855,0.173615,0.65953,581.533,2.45236e-05,2.46435e-05,0.00489228
881,0.438742,0.295342,0.265916,699.296,2.17278e-05,2.18946e-05,0.00767794
882,0.243429,0.40934,0.347231,371.816,1.70401e-05,1.69966e-05,0.00255572
883,0.502046,0.438022,0.059931,1229.08,3.05956e-05,3.04028e-05,0.00630226
884,0.549018,0.37832,0.0726621,1371.45,3.1742e-05,3.13522e-05,0.0122798
885,0.453973,0.085545,0.460482,2035.97,4.36019e-05,4.26538e-05,0.0217445
886,0.0999817,0.590022,0.309996,1228.74,4.6224e-05,4.63287e-05,0.00226521
887,0.465696,0.107565,0.426739,604.97,1.90601e-05,1.91902e-05,0.0068263
888,0.164541,0.542325,0.293134,1124.79,4.00294e-05,4.01257e-05,0.00240537
889,0.479396,0.480486,0.0401182,2327.5,4.80303e-05,4.66553e-05,0.0286294
890,0.138087,0.41928,0.442633,313.882,1.70494e-05,1.70009e-05,0.00284389
891,0.595902,0.181057,0.22304,507.877,1.55729e-05,1.57062e-05,0.00855716
892,0.000598703,0.0432125,0.956189,1467.64,5.34934e-05,5.52959e-05,0.0336946
893,0.245608,0.298692,0.455699,758.819,2.73461e-05,2.75512e-05,0.00749951
894,0.625091,0.00958118,0.365327,2671.45,4.63521e-05,4.49854e-05,0.0294854
895,0.203035,0.434142,0.362823,1600.53,4.81727e-05,4.75312e-05,0.0133149
896,0.466159,0.456884,0.0769577,2573.98,5.18624e-05,5.02354e-05,0.0313724
897,0.21559,0.358481,0.42593,1574.17,4.66373e-05,4.60387e-05,0.0128338
898,0.384422,0.00948095,0.606097,320.25,1.31111e-05,1.33177e-05,0.0157552
899,0.339315,0.339036,0.321649,2182.3,5.12692e-05,4.99503e-05,0.0257263
900,0.310294,0.07128,0.618426,1756.7,4.45328e-05,4.37787e-05,0.0169322
901,0.55619,0.266513,0.177297,822.696,2.22288e-05,2.22439e-05,0.000679476
902,0.0415332,0.2059,0.752567,969.186,3.99669e-05,4.09474e-05,0.0245318
903,0.389375,0.228743,0.381881,1972.2,4.54103e-05,4.44337e-05,0.0215056
904,0.746903,0.181796,0.0713012,2894.44,4.60319e-05,4.443e-05,0.0347977
905,0.391119,0.0792035,0.529678,385.819,1.4867e-05,1.50297e-05,0.0109431
906,0.213837,0.00359087,0.782572,1452.4,4.28186e-05,4.24116e-05,0.00950494
907,0.426115,0.400356,0.173529,677.751,2.16432e-05,2.18352e-05,0.00887062
