j,H2,O2,N2,T,mu
9065,0.390701,0.253699,0.3556,610.127,2.07327e-06
9066,0.497556,0.11707,0.385375,1097.95,2.77097e-06
9067,0.596491,0.0940175,0.309491,692.83,1.91489e-06
9068,0.749554,0.0583538,0.192092,824.39,1.95718e-06
9069,0.441939,0.374922,0.183139,1307.1,3.29593e-06
9070,0.448774,0.128436,0.422791,1048.53,2.79363e-06
9071,0.348621,0.044388,0.606991,1689.7,4.11393e-06
9072,0.0805517,0.214231,0.705217,1366.86,4.87537e-06
9073,0.340461,0.241251,0.418287,1864.21,4.48351e-06
9074,0.47396,0.122567,0.403473,1124.13,2.86494e-06
9075,0.313901,0.159861,0.526238,961.477,2.97681e-06
9076,0.643399,0.0830881,0.273513,678.63,1.83359e-06
9077,0.905575,0.022001,0.0724239,426.498,1.17839e-06
9078,0.462094,0.142242,0.395664,2904.09,5.33307e-06
9079,0.014076,0.67743,0.308494,2736.51,8.68187e-06
9080,0.392711,0.577037,0.0302512,1528.54,3.85957e-06
9081,0.290986,0.324252,0.384762,1061.59,3.29225e-06
9082,0.403411,0.4237,0.172889,1523.39,3.77177e-06
9083,0.174014,0.192455,0.633531,1222.57,4.04971e-06
9084,0.15646,0.451179,0.392361,1209.2,4.21723e-06
9085,0.577611,0.0984167,0.323973,900.752,2.30132e-06
9086,0.478741,0.121453,0.399806,944.495,2.54913e-06
9087,0.20485,0.735326,0.0598239,984.69,3.58004e-06
9088,0.285708,0.16643,0.547862,1138.22,3.41749e-06
9089,0.0220723,0.394927,0.583,523.42,2.79587e-06
9090,0.430841,0.132614,0.436545,1009.68,2.76611e-06
9091,0.157605,0.0594352,0.78296,2626.52,6.65876e-06
9092,0.716839,0.0659765,0.217184,481.684,1.40252e-06
9093,0.262861,0.161223,0.575916,1031.42,3.27924e-06
9094,0.392902,0.218179,0.388919,1032.9,2.91558e-06
9095,0.352578,0.22607,0.421352,575.189,2.05744e-06
9096,0.651078,0.0812988,0.267623,810.052,2.04844e-06
9097,0.364211,0.262972,0.372817,2878.46,5.80649e-06
9098,0.386999,0.142829,0.470172,1229.49,3.26309e-06
9099,0.946004,0.012581,0.0414148,257.561,8.31345e-07
9100,0.62148,0.0918215,0.286698,2604.41,4.43551e-06
9101,0.439431,0.440004,0.120565,1456.03,3.5573e-06
9102,0.490623,0.267675,0.241702,1543.93,3.50623e-06
9103,0.957001,0.0100188,0.0329805,233.828,7.76482e-07
9104,0.633815,0.161754,0.204431,841.291,2.13134e-06
9105,0.55591,0.305914,0.138176,2281.07,4.30855e-06
9106,0.337851,0.285203,0.376946,1137.58,3.27898e-06
9107,0.0297528,0.89373,0.0765168,1474.02,5.93571e-06
9108,0.240732,0.176909,0.582358,1320.37,3.94559e-06
9109,0.119599,0.375641,0.50476,1510.78,5.05566e-06
9110,0.367381,0.1474,0.485219,1131.44,3.1467e-06
9111,0.036539,0.175769,0.787692,2513.57,7.52376e-06
9112,0.995043,0.00115496,0.00380196,322.28,9.44315e-07
9113,0.00855097,0.962969,0.0284805,267.439,1.8672e-06
9114,0.384898,0.307114,0.307988,1561.21,3.86106e-06
9115,0.274978,0.282096,0.442926,1790.83,4.67556e-06
9116,0.371482,0.204126,0.424392,1057.75,3.01393e-06
9117,0.0379119,0.528439,0.433649,2542.55,7.93328e-06
9118,0.0317519,0.225602,0.742646,1626.86,5.75631e-06
