j,H2,O2,N2,T,mu
8470,0.427387,0.190037,0.382576,1456.45,3.57483e-05
8471,0.310561,0.329948,0.359491,1187.8,3.48482e-05
8472,0.135311,0.539813,0.324876,660.775,2.88158e-05
8473,0.536987,0.105891,0.357122,2747.47,5.03083e-05
8474,0.00462082,0.577735,0.417644,266.383,1.77079e-05
8475,0.456767,0.23519,0.308043,2033.31,4.3901e-05
8476,0.349453,0.368394,0.282152,2835.39,6.07862e-05
8477,0.261455,0.448402,0.290143,2448.05,6.04155e-05
8478,0.503567,0.110399,0.386034,2904.51,5.34985e-05
8479,0.331326,0.308688,0.359986,2799.76,6.10162e-05
8480,0.388585,0.397672,0.213743,342.825,1.40727e-05
8481,0.420383,0.337345,0.242272,2510.97,5.24953e-05
8482,0.188165,0.212312,0.599524,1125.39,3.77213e-05
8483,0.468019,0.482874,0.049107,597.163,1.93337e-05
8484,0.360266,0.444352,0.195382,1529.09,3.98388e-05
8485,0.474919,0.235573,0.289509,1467.91,3.47415e-05
8486,0.243439,0.418017,0.338544,2266.26,5.82867e-05
8487,0.14855,0.596598,0.254852,2582.74,7.23816e-05
8488,0.22238,0.409699,0.367921,2808.63,6.89692e-05
8489,0.160987,0.582701,0.256312,823.598,3.2634e-05
8490,0.247504,0.376375,0.376121,2676.64,6.47471e-05
8491,0.579087,0.375887,0.0450256,1940.24,3.92927e-05
8492,0.366238,0.0668949,0.566867,643.093,2.14306e-05
8493,0.349228,0.618597,0.0321746,2486.52,5.66982e-05
8494,0.278984,0.432367,0.288649,2856.77,6.57887e-05
8495,0.502154,0.437013,0.0608329,440.783,1.53092e-05
8496,0.231569,0.447032,0.321399,1547.37,4.5665e-05
8497,0.308678,0.298837,0.392485,2919.07,6.40954e-05
8498,0.31398,0.389802,0.296218,1043.48,3.19652e-05
8499,0.341084,0.457962,0.200954,816.217,2.65239e-05
8500,0.318493,0.221759,0.459748,1232.07,3.51541e-05
8501,0.477049,0.092867,0.430084,2625.45,5.09008e-05
8502,0.443358,0.0415391,0.515103,675.117,2.07826e-05
8503,0.103739,0.538825,0.357436,720.507,3.17416e-05
8504,0.0347922,0.815186,0.150022,1647.06,6.27621e-05
8505,0.0884622,0.66687,0.244667,1273.1,4.84733e-05
8506,0.53878,0.155525,0.305695,2826.85,5.13743e-05
8507,0.133947,0.217371,0.648682,1641.23,5.19162e-05
8508,0.299821,0.343321,0.356858,496.341,1.94964e-05
8509,0.415999,0.133406,0.450596,1155.17,3.07223e-05
8510,0.00668958,0.472343,0.520967,1667.51,6.17612e-05
8511,0.219174,0.521261,0.259565,2428.4,6.33429e-05
8512,0.454786,0.345285,0.19993,1672.61,3.88161e-05
8513,0.581543,0.2673,0.151158,679.777,1.92234e-05
8514,0.455601,0.131502,0.412896,2457.87,4.9608e-05
8515,0.267839,0.454645,0.277515,2638.7,6.31815e-05
8516,0.561596,0.259939,0.178465,997.027,2.52036e-05
8517,0.414041,0.209926,0.376033,2860.82,5.71329e-05
8518,0.32118,0.253841,0.424979,675.954,2.33966e-05
8519,0.182923,0.33271,0.484367,2046.15,5.77006e-05
8520,0.236262,0.761764,0.00197328,413.157,1.90475e-05
8521,0.180822,0.498465,0.320713,675.118,2.76085e-05
8522,0.332455,0.366089,0.301456,1305.11,3.6491e-05
8523,0.532693,0.244215,0.223092,1226.16,2.95246e-05
8524,0.49205,0.0550288,0.452922,456.634,1.54121e-05
8525,0.279771,0.414552,0.305677,443.868,1.85363e-05
8526,0.293467,0.188127,0.518407,1392.03,3.90039e-05
8527,0.487476,0.39656,0.115963,2391.89,4.83579e-05
8528,0.256139,0.235544,0.508317,1821.05,4.87817e-05
8529,0.549658,0.248706,0.201636,972.881,2.4973e-05
8530,0.58079,0.0468223,0.372388,2807.81,4.93982e-05
8531,0.0715876,0.478447,0.449966,2299.43,7.2508e-05
8532,0.514701,0.265576,0.219723,2472.06,4.80596e-05
8533,0.444032,0.545048,0.0109201,1924.39,4.36275e-05
8534,0.363119,0.285456,0.351424,1304.8,3.52669e-05
8535,0.209723,0.31532,0.474957,2034.42,5.56725e-05
8536,0.283263,0.590178,0.126559,1813.92,4.87603e-05
8537,0.0821942,0.812514,0.105291,307.421,1.8779e-05
8538,0.483621,0.495841,0.0205384,1659.73,3.81385e-05
8539,0.212299,0.508296,0.279404,1752.8,5.1071e-05
8540,0.35625,0.391671,0.252079,1015.09,3.01729e-05
8541,0.378693,0.267146,0.354161,2744.56,5.74824e-05
8542,0.00635625,0.371842,0.621802,2000.96,6.90849e-05
8543,0.193704,0.194339,0.611957,2964.5,7.24169e-05
8544,0.0857591,0.863462,0.0507793,2346.24,7.5734e-05
8545,0.436854,0.154445,0.408701,661.531,2.07585e-05
8546,0.661393,0.32787,0.0107366,1754.68,3.47686e-05
8547,0.304774,0.31679,0.378436,2566.73,5.90476e-05
8548,0.163856,0.49901,0.337134,737.409,2.99021e-05
8549,0.277684,0.417647,0.304669,2823.58,6.52755e-05
8550,0.561776,0.189588,0.248636,673.771,1.92677e-05
8551,0.36484,0.358276,0.276884,1342.35,3.60916e-05
8552,0.154382,0.754885,0.090733,2124.6,6.39547e-05
8553,0.193126,0.138639,0.668235,2798.38,6.93054e-05
8554,0.14021,0.364725,0.495065,2062.06,6.11792e-05
8555,0.0429895,0.669612,0.287398,979.369,4.26859e-05
8556,0.212123,0.409198,0.378679,1600.97,4.75815e-05
8557,0.238224,0.114717,0.64706,2327.99,5.81159e-05
8558,0.413227,0.32836,0.258413,1469.49,3.67315e-05
8559,0.214462,0.392855,0.392682,410.358,1.87574e-05
8560,0.404973,0.108789,0.486239,1208.77,3.19094e-05
8561,0.0182154,0.405876,0.575908,721.555,3.41201e-05
8562,0.603083,0.343807,0.05311,1176.28,2.75575e-05
8563,0.270207,0.136848,0.592945,2659.46,6.16837e-05
8564,0.37831,0.232616,0.389073,2640.44,5.58751e-05
8565,0.258949,0.369284,0.371767,1723.06,4.73888e-05
8566,0.215855,0.479052,0.305093,268.9,1.41603e-05
8567,0.305445,0.373411,0.321144,2752.67,6.21592e-05
8568,0.798124,0.0591217,0.142754,334.839,1.04636e-05
8569,0.0992785,0.712335,0.188387,2727.2,8.10083e-05
8570,0.382741,0.223482,0.393776,1234.48,3.32431e-05
8571,0.466983,0.0949567,0.438061,2131.92,4.45633e-05
8572,0.734286,0.188058,0.077656,1252.57,2.63996e-05
8573,0.490198,0.346715,0.163087,2600.28,5.08956e-05
8574,0.267899,0.186155,0.545946,1737.28,4.64874e-05
8575,0.00687351,0.690198,0.302928,927.592,4.24888e-05
8576,0.272118,0.393738,0.334144,1125.01,3.50678e-05
8577,0.0707531,0.525576,0.403671,1603.1,5.69987e-05
8578,0.246966,0.158288,0.594746,595.033,2.28638e-05
8579,0.00107669,0.36793,0.630994,1055.99,4.4533e-05
8580,0.404745,0.223522,0.371733,1232.59,3.26012e-05
8581,0.586678,0.272233,0.14109,274.048,1.039e-05
8582,0.239444,0.340263,0.420293,425.028,1.86242e-05
8583,0.479057,0.454786,0.066157,272.534,1.12664e-05
8584,0.270393,0.0174464,0.712161,1963.11,4.9681e-05
8585,0.297294,0.0214194,0.681286,1625.22,4.25936e-05
8586,0.308069,0.288971,0.40296,2948.74,6.45242e-05
8587,0.392737,0.449045,0.158219,1599.13,3.99159e-05
8588,0.413403,0.323801,0.262796,2831.7,5.72207e-05
8589,0.559498,0.103991,0.336512,1157.8,2.76585e-05
8590,0.149268,0.652826,0.197906,2820.1,7.725e-05
8591,0.230363,0.732158,0.0374795,2352.5,6.24141e-05
8592,0.349097,0.173441,0.477462,1984.14,4.70422e-05
8593,0.610844,0.278648,0.110508,2989.49,5.12136e-05
8594,0.295005,0.334404,0.370592,2153.37,5.29962e-05
8595,0.0970169,0.467447,0.435536,1240.75,4.60374e-05
8596,0.482595,0.0452486,0.472156,2896.84,5.40087e-05
8597,0.11727,0.00103286,0.881697,2597.53,7.07836e-05
8598,0.188018,0.384063,0.427919,2064.09,5.79959e-05
8599,0.714412,0.167389,0.118199,2618.48,4.37725e-05
8600,0.192864,0.373391,0.433746,1723.96,5.09632e-05
8601,0.140782,0.501578,0.35764,963.312,3.6885e-05
8602,0.168632,0.166388,0.66498,1476.47,4.61832e-05
8603,0.31127,0.0181764,0.670554,2893.98,6.21691e-05
8604,0.229249,0.518613,0.252138,575.378,2.35091e-05
8605,0.258621,0.161901,0.579478,361.154,1.61009e-05
8606,0.348051,0.430841,0.221108,784.517,2.56039e-05
8607,0.00946316,0.456363,0.534174,1211.34,4.9363e-05
8608,0.520268,0.185529,0.294203,245.713,1.00287e-05
8609,0.153845,0.0874513,0.758704,1801.65,5.33672e-05
8610,0.47158,0.466394,0.0620263,1213.75,3.10987e-05
8611,0.303061,0.357888,0.339051,801.656,2.69414e-05
8612,0.168355,0.798298,0.0333476,2409.27,6.87832e-05
8613,0.346819,0.0777849,0.575396,1961.4,4.64369e-05
8614,0.250503,0.452412,0.297084,1249.4,3.87076e-05
8615,0.184845,0.342743,0.472412,2399.01,6.42312e-05
8616,0.493499,0.357183,0.149319,574.881,1.83371e-05
8617,0.0391274,0.336,0.624873,482.877,2.52238e-05
8618,0.456945,0.124296,0.418759,1292.55,3.20822e-05
8619,0.152619,0.424608,0.422773,2618.64,7.1406e-05
8620,0.452332,0.0414482,0.50622,2103.24,4.44972e-05
8621,0.442376,0.325297,0.232327,458.768,1.63271e-05
8622,0.161131,0.550636,0.288233,495.038,2.29777e-05
8623,0.358789,0.147748,0.493463,2732.84,5.78239e-05
8624,0.321243,0.176019,0.502737,1633.94,4.23119e-05
8625,0.510865,0.334467,0.154668,342.101,1.27387e-05
8626,0.245612,0.364187,0.390201,1385.82,4.14242e-05
8627,0.36273,0.462113,0.175157,327.002,1.40016e-05
8628,0.307352,0.344689,0.347959,1253.56,3.63001e-05
8629,0.242826,0.294105,0.463069,2182.27,5.62267e-05
8630,0.357734,0.262169,0.380097,2357.9,5.28189e-05
8631,0.288558,0.45598,0.255462,2909.49,6.60891e-05
8632,0.357019,0.174522,0.468459,1116.84,3.1648e-05
8633,0.274122,0.362704,0.363175,2509.05,6.01863e-05
8634,0.352262,0.555448,0.0922905,477.047,1.83833e-05
8635,0.254907,0.343043,0.40205,2878.23,6.72938e-05
8636,0.142765,0.624752,0.232482,2721.61,7.57867e-05
8637,0.26194,0.280513,0.457547,435.339,1.84077e-05
8638,0.347182,0.329849,0.322969,2497.39,5.57299e-05
8639,0.386454,0.0126104,0.600935,2001.83,4.52808e-05
8640,0.125449,0.148605,0.725946,2087.57,6.1349e-05
8641,0.328178,0.390397,0.281425,1477.76,3.99333e-05
8642,0.346802,0.261006,0.392191,2815.99,6.01604e-05
8643,0.166554,0.461031,0.372416,1489.17,4.79601e-05
8644,0.548759,0.254523,0.196718,2689.73,4.96324e-05
8645,0.0651525,0.853465,0.0813822,1258.9,5.06627e-05
8646,0.303358,0.601386,0.0952562,616.111,2.29813e-05
8647,0.0394235,0.397012,0.563565,1758.68,6.18177e-05
8648,0.345496,0.164433,0.490071,674.399,2.26965e-05
8649,0.436553,0.34628,0.217166,1838.52,4.19858e-05
8650,0.0221693,0.466838,0.510992,2777.81,8.67936e-05
8651,0.388825,0.20552,0.405655,1989.43,4.56239e-05
8652,0.238969,0.56216,0.198871,559.43,2.29155e-05
8653,0.461714,0.0525541,0.485732,2013.82,4.29326e-05
8654,0.293004,0.396803,0.310193,1846.9,4.8092e-05
8655,0.393104,0.330038,0.276858,1190.51,3.24003e-05
8656,0.446735,0.211091,0.342174,1794.2,4.05935e-05
8657,0.0999785,0.557132,0.342889,582.072,2.76095e-05
8658,0.4116,0.0302982,0.558102,914.132,2.6129e-05
8659,0.316417,0.404441,0.279142,1296.08,3.69858e-05
8660,0.288962,0.573085,0.137953,891.578,2.98884e-05
8661,0.171853,0.642401,0.185746,1113.82,3.98244e-05
8662,0.177676,0.514933,0.30739,730.643,2.92904e-05
8663,0.614837,0.105021,0.280142,1195.97,2.72902e-05
8664,0.298566,0.386871,0.314563,1987.39,5.02261e-05
8665,0.161614,0.111742,0.726645,1434.54,4.53944e-05
8666,0.416854,0.449929,0.133216,1255.59,3.32064e-05
8667,0.242312,0.364403,0.393286,1351.5,4.0867e-05
8668,0.700224,0.0338367,0.265939,318.076,1.06115e-05
8669,0.924608,0.0501398,0.0252525,2094.99,3.37929e-05
8670,0.438665,0.124778,0.436557,1037.45,2.80442e-05
8671,0.332283,0.380009,0.287708,1487.69,3.99282e-05
8672,0.369697,0.203459,0.426844,2654.38,5.63798e-05
8673,0.0902911,0.784937,0.124772,1391.29,5.21341e-05
8674,0.220017,0.758258,0.0217246,1480.58,4.62059e-05
8675,0.243331,0.286077,0.470593,248.502,1.28159e-05
8676,0.538691,0.366006,0.0953031,2615.7,4.93826e-05
8677,0.440446,0.389538,0.170016,1394.88,3.48292e-05
8678,0.10164,0.574913,0.323448,1219.47,4.58113e-05
8679,0.0562589,0.536567,0.407174,2222.2,7.26127e-05
8680,0.230144,0.3639,0.405957,2186.31,5.74267e-05
8681,0.429742,0.415354,0.154904,876.704,2.57094e-05
8682,0.391537,0.170517,0.437945,454.21,1.67066e-05
8683,0.206184,0.122584,0.671232,1022.28,3.43565e-05
8684,0.111537,0.265333,0.62313,871.974,3.47491e-05
8685,0.451965,0.385016,0.163019,2534.74,5.1659e-05
8686,0.268342,0.349781,0.381877,2724.19,6.39565e-05
8687,0.456145,0.0373052,0.50655,447.218,1.55781e-05
8688,0.343108,0.217047,0.439845,1214.11,3.40162e-05
8689,0.386412,0.234895,0.378693,1327.3,3.48352e-05
8690,0.355363,0.272152,0.372485,659.163,2.23356e-05
8691,0.237633,0.350684,0.411683,1415.75,4.23368e-05
8692,0.257765,0.597307,0.144928,482.959,2.03929e-05
8693,0.328342,0.480354,0.191304,2144.35,5.17568e-05
8694,0.268437,0.340842,0.390721,2968.43,6.77402e-05
8695,0.40679,0.241718,0.351493,2135.84,4.72713e-05
8696,0.300835,0.217169,0.481996,501.327,1.94103e-05
8697,0.507498,0.440078,0.0524243,2031.3,4.27814e-05
8698,0.254006,0.225837,0.520157,2406.63,5.90418e-05
8699,0.0547396,0.762619,0.182642,1516.27,5.75978e-05
8700,0.371787,0.139173,0.48904,2805.9,5.81592e-05
8701,0.0983426,0.173747,0.72791,1282.28,4.54606e-05
8702,0.542855,0.286346,0.170799,516.207,1.63988e-05
8703,0.234829,0.406606,0.358566,1423.79,4.28423e-05
8704,0.267634,0.0142016,0.718164,1043.88,3.24242e-05
8705,0.594243,0.121945,0.283812,373.689,1.26341e-05
8706,0.339199,0.436011,0.22479,2030.91,4.92024e-05
8707,0.346482,0.07336,0.580158,310.26,1.33061e-05
8708,0.484805,0.252348,0.262847,443.61,1.53858e-05
8709,0.246206,0.100247,0.653547,669.53,2.46673e-05
8710,0.277808,0.169048,0.553145,1065.66,3.29801e-05
8711,0.564334,0.34333,0.0923358,2634.13,4.86755e-05
8712,0.422036,0.178299,0.399665,310.097,1.26003e-05
8713,0.410652,0.313068,0.27628,2966.43,5.91409e-05
8714,0.201989,0.285697,0.512314,1510.99,4.57277e-05
8715,0.391166,0.56918,0.0396536,2022.8,4.72724e-05
8716,0.422033,0.260044,0.317923,435.236,1.59376e-05
8717,0.399519,0.0998023,0.500679,2148.44,4.7275e-05
8718,0.355027,0.401042,0.243931,460.462,1.76931e-05
8719,0.408537,0.209329,0.382134,1570.8,3.82553e-05
8720,0.330127,0.45315,0.216723,572.865,2.10691e-05
8721,0.672791,0.30478,0.0224294,1259.81,2.75984e-05
8722,0.173379,0.207421,0.6192,1345.15,4.32849e-05
8723,0.465963,0.286985,0.247052,2939.17,5.6103e-05
